to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW-Eau Claire,L,3.00,CRMJ EL,Criminal Justice Elective,CRIM JUST (504) 102,Waukesha County Tech. College,,Police Organization and Admin,
UW-Eau Claire,L,3.00,CRMJ EL,Criminal Justice Elective,CRIM JUST (504) 103,Waukesha County Tech. College,,Probation/Parole/Corrections,
UW-Eau Claire,L,3.00,CRMJ EL,Criminal Justice Elective,CRIM JUST (504) 108,Waukesha County Tech. College,,Introduction to Terrorism,
UW-Eau Claire,L,3.00,CRMJ EL,Criminal Justice Elective,CRIM JUST (504) 113,Waukesha County Tech. College,,Crim Law,
UW-Eau Claire,L,3.00,CRMJ EL,Criminal Justice Elective,CRIM JUST (504) 115,Waukesha County Tech. College,,Criminal Evidence,
UW-Eau Claire,L,3.00,CRMJ EL,Criminal Justice Elective,CRIM JUST (504) 117,Waukesha County Tech. College,,Cont Law,
UW-Eau Claire,L,3.00,CRMJ EL,Criminal Justice Elective,CRIM JUST (504) 122,Waukesha County Tech. College,,Patrol & Traffic Procedures,
UW-Eau Claire,L,3.00,CRMJ EL,Criminal Justice Elective,CRIM JUST (504) 123,Waukesha County Tech. College,,Criminal Investigation,
UW-Eau Claire,L,3.00,CRMJ EL,Criminal Justice Elective,CRIM JUST (504) 135,Waukesha County Tech. College,,Juv Law,
UW-Eau Claire,L,3.00,CRMJ EL,Criminal Justice Elective,CRIM JUST (504) 140,Waukesha County Tech. College,,Criminology,
UW-Eau Claire,L,3.00,CRMJ EL,Criminal Justice Elective,CRIM JUST (504) 142,Waukesha County Tech. College,,Police Reprt/Recording Methods,
UW-Eau Claire,L,3.00,CRMJ 103,Survey Crm Just,CRIM JUST (504) 900,Waukesha County Tech. College,"GE-III, LE-K2",Intro to Criminal Justice,
UW-Eau Claire,L,3.00,CRMJ EL,Criminal Justice Elective,CRIM JUST (504) 901,Waukesha County Tech. College,,Constitutional Law,
UW-Eau Claire,L,3.00,CRMJ EL,Criminal Justice Elective,CRIM JUST (504) 902,Waukesha County Tech. College,,Criminal Law,
UW-Eau Claire,L,3.00,CRMJ EL,Criminal Justice Elective,CRIM JUST (504) 903,Waukesha County Tech. College,,Professional Communications,
UW-Eau Claire,L,3.00,CRMJ EL,Criminal Justice Elective,CRIM JUST (504) 904,Waukesha County Tech. College,,Juvenile Law,
UW-Eau Claire,L,3.00,CRMJ EL,Criminal Justice Elective,CRIM JUST (504) 905,Waukesha County Tech. College,,Report Writing,
UW-Eau Claire,L,3.00,CRMJ EL,Criminal Justice Elective,CRIM JUST (504) 906,Waukesha County Tech. College,,Criminal Investigation Theory,
UW-Eau Claire,L,3.00,Comm-Lang EL,Comm-Language Skills Elective,FLANG (802) 170,Waukesha County Tech. College,"GE-IA, LE-S1",German I - Beginning,
UW-Eau Claire,None,3.00,GERM 101,Beginning German,FLANG (802) 171,Waukesha County Tech. College,None,Business German Applications,None
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 104,Waukesha County Tech. College,,Business Statistics,5
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 106,Waukesha County Tech. College,,Intro to College Math,5
UW Branch Campus,L,3.00,MAT EL,Mathematics Elective,MATH (804) 107,Waukesha County Tech. College,,College Mathematics,
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 110,Waukesha County Tech. College,,Elem Algebra W Apps,5
UW Branch Campus,P,3.00,MAT 091,Elementary Algebra,MATH (804) 113,Waukesha County Tech. College,,College Technical Math 1a,5
UW Branch Campus,,2.00,NDC,No Degree Credit,MATH (804) 114,Waukesha County Tech. College,,College Technical Math 1b,5
UW Branch Campus,P,5.00,MAT 091,Elementary Algebra,MATH (804) 115,Waukesha County Tech. College,,College Technical Math 1,5
UW Branch Campus,L,3.00,MAT EL,Mathematics Elective,MATH (804) 116,Waukesha County Tech. College,MS,College Technical Math 2,
UW Branch Campus,L,4.00,MAT 105,Intro College Algebra,MATH (804) 118,Waukesha County Tech. College,EL,Interm Algebra W Apps,
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 133,Waukesha County Tech. College,,Math & Logic,5
UW Branch Campus,,4.00,NDC,No Degree Credit,MATH (804) 154,Waukesha County Tech. College,,Technical Calculus I,"5, 1254"
UW Branch Campus,L,4.00,MAT 110,College Algebra,MATH (804) 155,Waukesha County Tech. College,"MS,CR",College Mathematics,
UW Branch Campus,L,4.00,MAT EL,Mathematics Elective,MATH (804) 156,Waukesha County Tech. College,,Calculus 2,1254
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 160,Waukesha County Tech. College,,Math Principles,5
UW Branch Campus,L,4.00,MAT EL,Mathematics Elective,MATH (804) 167,Waukesha County Tech. College,,Calculus 3,
UW Branch Campus,L,3.00,MAT 117,Elementary Statistics,MATH (804) 189,Waukesha County Tech. College,"UCTA,MS",Introductory Statistics,22
UW Branch Campus,L,3.00,MAT 110,College Algebra,MATH (804) 195,Waukesha County Tech. College,"MS,CR",College Algebra W Apps,
UW Branch Campus,L,3.00,MAT 113,Trigonometry,MATH (804) 196,Waukesha County Tech. College,MS,Trigonometry W Apps,
UW Branch Campus,L,5.00,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,Waukesha County Tech. College,"UCTA,MS",Coll Algebra & Trig With Appls,22
UW Branch Campus,L,4.00,MAT 221,Calc & Analy Geom I,MATH (804) 198,Waukesha County Tech. College,MS,Calculus 1,
UW Branch Campus,,1.00,NDC,No Degree Credit,READ (808) 155,Waukesha County Tech. College,,Business Reading Strategies,5
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 121,Waukesha County Tech. College,,Technical Writing Workshop II,5
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 122,Waukesha County Tech. College,,Skills For Team Facilitator,5
UW Branch Campus,,4.00,NDC,No Degree Credit,COMMSK (801) 135,Waukesha County Tech. College,,Z-M Front Line Leadership,5
UW Branch Campus,L,3.00,ENG 101,College Write & Critical Read,COMMSK (801) 136,Waukesha County Tech. College,UCTA,English Composition 1,22
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 140,Waukesha County Tech. College,,Documenting Quality Practice,5
UW Branch Campus,L,3.00,GEN EL,General Elective,COMMSK (801) 154,Waukesha County Tech. College,,Basic Technical Writing,
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 156,Waukesha County Tech. College,,Business Correspondence,5
UW Branch Campus,,2.00,NDC,No Degree Credit,COMMSK (801) 157,Waukesha County Tech. College,,Seven Habits of Effective Pepl,5
UW Branch Campus,,1.00,NDC,No Degree Credit,COMMSK (801) 162,Waukesha County Tech. College,,Writing the Newsletter,5
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 174,Waukesha County Tech. College,,Journal & Public Relations Wri,5
UW Branch Campus,,2.00,NDC,No Degree Credit,COMMSK (801) 176,Waukesha County Tech. College,,Public Spking For Scared Stiff,5
UW Branch Campus,,1.00,NDC,No Degree Credit,COMMSK (801) 180,Waukesha County Tech. College,,Co-Op Communications I,5
UW Branch Campus,,1.00,NDC,No Degree Credit,COMMSK (801) 185,Waukesha County Tech. College,,Co-Op Communications II,5
UW Branch Campus,,1.00,NDC,No Degree Credit,COMMSK (801) 191,Waukesha County Tech. College,,Fundamentals of Essay Writing,5
UW Branch Campus,,2.00,NDC,No Degree Credit,COMMSK (801) 192,Waukesha County Tech. College,,Fundamentals of Writing,5
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 193,Waukesha County Tech. College,,Fundamentals of Writing,5
UW Branch Campus,L,3.00,ENG EL,English Elective,COMMSK (801) 195,Waukesha County Tech. College,"EL, UCTA",Written Communication,22
UW Branch Campus,L,3.00,CTA 101,Interpersonal Comm,COMMSK (801) 196,Waukesha County Tech. College,AP,Oral/Interpersonal Comm,
UW Branch Campus,L,3.00,ENG 206,Technical Writing,COMMSK (801) 197,Waukesha County Tech. College,AP,Technical Reporting,
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 114,Waukesha County Tech. College,"LS, NS, UCTA",General Biology,22
UW Branch Campus,L,4.00,CHE 125,Introductory Chemistry,NATSCI (806) 134,Waukesha County Tech. College,"UCTA,LS,NS",General Chemistry,22
UW Branch Campus,L,4.00,PHY 141,College Physics I,NATSCI (806) 154,Waukesha County Tech. College,"UCTA,LS,NS",General Physics (Alg-Based),22
UW Branch Campus,L,3.00,PHY EL,Physics Elective,NATSCI (806) 161,Waukesha County Tech. College,"NS, LS",Physics I/Calculus Based,
UW Branch Campus,L,3.00,PHY EL,Physics Elective,NATSCI (806) 162,Waukesha County Tech. College,"NS, LS",Physics II/Calculus Based,
UW Branch Campus,L,5.00,CHE 145,General Chemistry I,NATSCI (806) 174,Waukesha County Tech. College,"LS,NS",General Chemistry I,
UW Branch Campus,L,4.00,BIO 182,Human Anat & Physiology,NATSCI (806) 177,Waukesha County Tech. College,"LS,NS",Gen Anatomy & Physiology,218
UW Branch Campus,L,5.00,CHE 125,Introductory Chemistry,NATSCI (806) 178,Waukesha County Tech. College,"LS,NS",Life Science Chemistry,
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 179,Waukesha County Tech. College,"NS, LS",Adv Anatomy & Physiology,218
UW Branch Campus,L,3.00,PHY EL,Physics Elective,NATSCI (806) 180,Waukesha County Tech. College,"NS, LS",Technical Physics I,
UW Branch Campus,L,3.00,PHY EL,Physics Elective,NATSCI (806) 183,Waukesha County Tech. College,"NS, LS",Technical Physics II,
UW Branch Campus,L,4.00,CHE EL,Chemistry Elective,NATSCI (806) 186,Waukesha County Tech. College,NS,Intro to Biochemistry,
UW Branch Campus,L,3.00,BIO EL,Biology Elective,NATSCI (806) 189,Waukesha County Tech. College,NS,Basic Anatomy,
UW Branch Campus,L,4.00,BIO 285,Anatomy and Physiology,NATSCI (806) 195,Waukesha County Tech. College,"LS,NS",Anatomy and Physiology I,
UW Branch Campus,,3.00,NDC,No Degree Credit,FLANG (802) 160,Waukesha County Tech. College,,Spanish - Beginning,5
UW Branch Campus,,3.00,NDC,No Degree Credit,FLANG (802) 165,Waukesha County Tech. College,,Business Spanish Applications,5
UW Branch Campus,L,3.00,CTA 103,Intro Public Speaking,COMMSK (801) 198,Waukesha County Tech. College,"UCTA,AP",Speech,22
UW Branch Campus,L,4.00,EGR 110,Egr Graph W/ Comp Aid Drafting,MECTEC (606) 115,Waukesha County Tech. College,AP,Technical Drafting/Cad,
UW Branch Campus,L,3.00,EGR 202,Dynamics,MECTEC (606) 169,Waukesha County Tech. College,NS,Dynamics,
UW Branch Campus,L,4.00,BIO 286,Anatomy and Physiology,NATSCI (806) 196,Waukesha County Tech. College,"LS,NS",Anatomy and Physiology II,
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 197,Waukesha County Tech. College,NS,Microbiology,
UW Branch Campus,L,3.00,CPS 139,Web Page Development,COMART (201) 110,Waukesha County Tech. College,AP,Web Page Design I,
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 102,Waukesha County Tech. College,,Developing a Leadership Style,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 107,Waukesha County Tech. College,,Social Problems,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 115,Waukesha County Tech. College,,Global Cultural Awareness,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 120,Waukesha County Tech. College,,Consumer Economics,5
UW Branch Campus,L,3.00,POL 104,Amer Gov & Politics,SOCSCI (809) 122,Waukesha County Tech. College,"UCTA,SS",Intro to American Government,22
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 128,Waukesha County Tech. College,,Marriage & Family,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 131,Waukesha County Tech. College,,Critical and Creative Thinking,5
UW Branch Campus,L,3.00,ECO EL,Economics Elective,SOCSCI (809) 142,Waukesha County Tech. College,SS,Economics of Financial Markets,
UW Branch Campus,L,3.00,ECO EL,Economics Elective,SOCSCI (809) 143,Waukesha County Tech. College,,Microeconomics,
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 148,Waukesha County Tech. College,,Developmental Psychology,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 150,Waukesha County Tech. College,,Social Ecology,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 155,Waukesha County Tech. College,,Abnormal Psych,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 156,Waukesha County Tech. College,,Dynamics of Sexual Behavior,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 158,Waukesha County Tech. College,,Ethics,5
UW Branch Campus,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 159,Waukesha County Tech. College,,Abnormal Psychology,
UW Branch Campus,L,3.00,GEN EL,General Elective,SOCSCI (809) 166,Waukesha County Tech. College,UCTA,Intro to Ethics: Theory & App,22
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 170,Waukesha County Tech. College,,Introduction to Anthropology,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 171,Waukesha County Tech. College,,Cultural Awareness/Serv Occup,5
UW Branch Campus,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 172,Waukesha County Tech. College,"SS, UCTA",Intro to Diversity Studies,22
UW Branch Campus,L,3.00,SOC 130,Contemp Social Prob,SOCSCI (809) 174,Waukesha County Tech. College,SS,Social Problems,
UW Branch Campus,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 188,Waukesha County Tech. College,SS,Developmental Psychology,
UW Branch Campus,,1.00,NDC,No Degree Credit,SOCSCI (809) 192,Waukesha County Tech. College,,Co-Op Human Relations I,5
UW Branch Campus,L,3.00,ECO 101,Intro to Economics,SOCSCI (809) 195,Waukesha County Tech. College,"UCTA,SS",Economics,22
UW Branch Campus,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 196,Waukesha County Tech. College,"SS, UCTA",Intro to Sociology,22
UW Branch Campus,L,3.00,GEN EL,General Elective,SOCSCI (809) 197,Waukesha County Tech. College,SS,Contemporary Amer Society,
UW Branch Campus,L,3.00,PSY 202,Introductory Psych,SOCSCI (809) 198,Waukesha County Tech. College,"UCTA,SS",Intro to Psychology,22
UW Branch Campus,L,3.00,GEN EL,General Elective,SOCSCI (809) 199,Waukesha County Tech. College,SS,Psychology of Human Relations,
UW Branch Campus,,3.00,NDC,No Degree Credit,FLANG (802) 160,Waukesha County Tech. College,,Spanish - Beginning,5
UW Branch Campus,,3.00,NDC,No Degree Credit,FLANG (802) 165,Waukesha County Tech. College,,Business Spanish Applications,5
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 114,Waukesha County Tech. College,"LS, NS, UCTA",General Biology,22
UW Branch Campus,L,4.00,CHE 125,Introductory Chemistry,NATSCI (806) 134,Waukesha County Tech. College,"UCTA,LS,NS",General Chemistry,22
UW Branch Campus,L,4.00,PHY 141,College Physics I,NATSCI (806) 154,Waukesha County Tech. College,"UCTA,LS,NS",General Physics (Alg-Based),22
UW Branch Campus,L,3.00,PHY EL,Physics Elective,NATSCI (806) 161,Waukesha County Tech. College,"NS, LS",Physics I/Calculus Based,
UW Branch Campus,L,3.00,PHY EL,Physics Elective,NATSCI (806) 162,Waukesha County Tech. College,"NS, LS",Physics II/Calculus Based,
UW Branch Campus,L,5.00,CHE 145,General Chemistry I,NATSCI (806) 174,Waukesha County Tech. College,"LS,NS",General Chemistry I,
UW Branch Campus,L,4.00,BIO 182,Human Anat & Physiology,NATSCI (806) 177,Waukesha County Tech. College,"LS,NS",Gen Anatomy & Physiology,218
UW Branch Campus,L,5.00,CHE 125,Introductory Chemistry,NATSCI (806) 178,Waukesha County Tech. College,"LS,NS",Life Science Chemistry,
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 179,Waukesha County Tech. College,"NS, LS",Adv Anatomy & Physiology,218
UW Branch Campus,L,3.00,PHY EL,Physics Elective,NATSCI (806) 180,Waukesha County Tech. College,"NS, LS",Technical Physics I,
UW Branch Campus,L,3.00,PHY EL,Physics Elective,NATSCI (806) 183,Waukesha County Tech. College,"NS, LS",Technical Physics II,
UW Branch Campus,L,4.00,CHE EL,Chemistry Elective,NATSCI (806) 186,Waukesha County Tech. College,NS,Intro to Biochemistry,
UW Branch Campus,L,3.00,BIO EL,Biology Elective,NATSCI (806) 189,Waukesha County Tech. College,NS,Basic Anatomy,
UW Branch Campus,L,4.00,BIO 285,Anatomy and Physiology,NATSCI (806) 195,Waukesha County Tech. College,"LS,NS",Anatomy and Physiology I,
UW Branch Campus,L,4.00,BIO 286,Anatomy and Physiology,NATSCI (806) 196,Waukesha County Tech. College,"LS,NS",Anatomy and Physiology II,
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 197,Waukesha County Tech. College,NS,Microbiology,
UW Branch Campus,,1.00,NDC,No Degree Credit,READ (808) 155,Waukesha County Tech. College,,Business Reading Strategies,5
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 104,Waukesha County Tech. College,,Business Statistics,5
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 106,Waukesha County Tech. College,,Intro to College Math,5
UW Branch Campus,L,3.00,MAT EL,Mathematics Elective,MATH (804) 107,Waukesha County Tech. College,,College Mathematics,
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 110,Waukesha County Tech. College,,Elem Algebra W Apps,5
UW Branch Campus,P,3.00,MAT 091,Elementary Algebra,MATH (804) 113,Waukesha County Tech. College,,College Technical Math 1a,5
UW Branch Campus,,2.00,NDC,No Degree Credit,MATH (804) 114,Waukesha County Tech. College,,College Technical Math 1b,5
UW Branch Campus,P,5.00,MAT 091,Elementary Algebra,MATH (804) 115,Waukesha County Tech. College,,College Technical Math 1,5
UW Branch Campus,L,3.00,MAT EL,Mathematics Elective,MATH (804) 116,Waukesha County Tech. College,MS,College Technical Math 2,
UW Branch Campus,L,4.00,MAT 105,Intro College Algebra,MATH (804) 118,Waukesha County Tech. College,EL,Interm Algebra W Apps,
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 133,Waukesha County Tech. College,,Math & Logic,5
UW Branch Campus,,4.00,NDC,No Degree Credit,MATH (804) 154,Waukesha County Tech. College,,Technical Calculus I,"5, 1254"
UW Branch Campus,L,4.00,MAT 110,College Algebra,MATH (804) 155,Waukesha County Tech. College,"MS,CR",College Mathematics,
UW Branch Campus,L,4.00,MAT EL,Mathematics Elective,MATH (804) 156,Waukesha County Tech. College,,Calculus 2,1254
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 160,Waukesha County Tech. College,,Math Principles,5
UW Branch Campus,L,4.00,MAT EL,Mathematics Elective,MATH (804) 167,Waukesha County Tech. College,,Calculus 3,
UW Branch Campus,L,3.00,MAT 117,Elementary Statistics,MATH (804) 189,Waukesha County Tech. College,"UCTA,MS",Introductory Statistics,22
UW Branch Campus,L,3.00,MAT 110,College Algebra,MATH (804) 195,Waukesha County Tech. College,"MS,CR",College Algebra W Apps,
UW Branch Campus,L,3.00,MAT 113,Trigonometry,MATH (804) 196,Waukesha County Tech. College,MS,Trigonometry W Apps,
UW Branch Campus,L,5.00,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,Waukesha County Tech. College,"UCTA,MS",Coll Algebra & Trig With Appls,22
UW Branch Campus,L,4.00,MAT 221,Calc & Analy Geom I,MATH (804) 198,Waukesha County Tech. College,MS,Calculus 1,
UW Branch Campus,L,3.00,CPS 139,Web Page Development,COMART (201) 110,Waukesha County Tech. College,AP,Web Page Design I,
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 121,Waukesha County Tech. College,,Technical Writing Workshop II,5
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 122,Waukesha County Tech. College,,Skills For Team Facilitator,5
UW Branch Campus,,4.00,NDC,No Degree Credit,COMMSK (801) 135,Waukesha County Tech. College,,Z-M Front Line Leadership,5
UW Branch Campus,L,3.00,ENG 101,College Write & Critical Read,COMMSK (801) 136,Waukesha County Tech. College,UCTA,English Composition 1,22
