to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,L,3.00,ENG EL,English Elective,COMMSK (801) 195,4650,"EL, UCTA",Written Communication,22
9999,L,3.00,CTA 101,Interpersonal Comm,COMMSK (801) 196,4650,AP,Oral/Interpersonal Comm,
9999,L,3.00,ENG 206,Technical Writing,COMMSK (801) 197,4650,AP,Technical Reporting,
9999,L,3.00,CTA 103,Intro Public Speaking,COMMSK (801) 198,4650,"UCTA,AP",Speech,22
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 120,4650,,Discussion-Meeting Management,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 151,4650,,Comm Skills I,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 152,4650,,Comm Skills II,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 155,4650,,Office Communications I,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 156,4650,,Office Communications II,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 157,4650,,Effective Writing,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 158,4650,,Business Writing and Editing,5
9999,,1.00,NDC,No Degree Credit,COMMSK (801) 159,4650,,English For Court Reporters,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 160,4650,,Tech Writing,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 162,4650,,Business Communications,5
9999,,1.00,NDC,No Degree Credit,COMMSK (801) 170,4650,,Comm Ind Study,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 175,4650,,English Comp,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 188,4650,,Effective Speaking,5
9999,L,3.00,CTA 103,Intro Public Speaking,COMMSK (801) 190,4650,"UCTA,AP",Speech,22
9999,L,3.00,ENG EL,English Elective,COMMSK (801) 195,4650,"EL, UCTA",Written Communication,22
9999,L,3.00,CTA 101,Interpersonal Comm,COMMSK (801) 196,4650,AP,Oral/Interpersonal Comm,
9999,L,3.00,ENG 206,Technical Writing,COMMSK (801) 197,4650,AP,Technical Reporting,
9999,L,3.00,CTA 103,Intro Public Speaking,COMMSK (801) 198,4650,"UCTA,AP",Speech,22
9999,,3.00,NDC,No Degree Credit,MATH (804) 106,4650,,Intro to College Math,5
9999,L,3.00,MAT EL,Mathematics Elective,MATH (804) 107,4650,,College Mathematics,
9999,,3.00,NDC,No Degree Credit,MATH (804) 110,4650,,Elem Algebra W Apps,5
9999,P,3.00,MAT 091,Elementary Algebra,MATH (804) 113,4650,,College Technical Math 1a,5
9999,,2.00,NDC,No Degree Credit,MATH (804) 114,4650,,College Technical Math 1b,5
9999,P,5.00,MAT 091,Elementary Algebra,MATH (804) 115,4650,,College Technical Math 1,5
9999,L,3.00,MAT EL,Mathematics Elective,MATH (804) 116,4650,MS,Trigonometry Basic,
9999,L,4.00,MAT 105,Intro College Algebra,MATH (804) 118,4650,EL,Interm Algebra W Apps,
9999,,3.00,NDC,No Degree Credit,MATH (804) 130,4650,,Math and Logic,"5, 1251"
9999,,3.00,NDC,No Degree Credit,MATH (804) 133,4650,,Math & Logic,5
9999,L,3.00,MAT 117,Elementary Statistics,MATH (804) 189,4650,"UCTA,MS",Introductory Statistics,22
9999,L,3.00,MAT 110,College Algebra,MATH (804) 195,4650,"MS,CR",College Algebra W Apps,
9999,L,3.00,MAT 113,Trigonometry,MATH (804) 196,4650,MS,Trigonometry With Appls,
9999,L,5.00,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,4650,"UCTA,MS",Coll Algebra & Trig With Appls,22
9999,L,4.00,MAT 221,Calc & Analy Geom I,MATH (804) 198,4650,MS,Calculus,
9999,L,3.00,BIO 182,Human Anat & Physiology,NATSCI (806) 103,4650,"LS,NS",Body Struct Functn,
9999,L,4.00,BIO EL,Biology Elective,NATSCI (806) 114,4650,"NS, LS, UCTA",General Biology,22
9999,L,4.00,CHE 125,Introductory Chemistry,NATSCI (806) 134,4650,"UCTA,LS,NS",General Chemistry,22
9999,L,4.00,PHY 141,College Physics I,NATSCI (806) 154,4650,"UCTA,LS,NS",General Physics 1,22
9999,L,4.00,CHE 125,Introductory Chemistry,NATSCI (806) 174,4650,"UCTA,LS,NS",General Chemistry,22
9999,L,4.00,BIO 182,Human Anat & Physiology,NATSCI (806) 177,4650,"LS,NS",Gen Anatomy & Physiology,209
9999,L,4.00,BIO EL,Biology Elective,NATSCI (806) 179,4650,"NS, LS",Adv Anatomy & Physiology,209
9999,L,4.00,CHE EL,Chemistry Elective,NATSCI (806) 186,4650,NS,Intro to Biochemistry,
9999,L,3.00,BIO EL,Biology Elective,NATSCI (806) 189,4650,NS,Basic Anatomy,
9999,L,4.00,BIO EL,Biology Elective,NATSCI (806) 197,4650,NS,Microbiology,
9999,L,3.00,BIO 182,Human Anat & Physiology,NATSCI (806) 103,4650,"LS,NS",Body Struct Functn,
9999,L,4.00,BIO EL,Biology Elective,NATSCI (806) 114,4650,"NS, LS, UCTA",General Biology,22
9999,L,4.00,CHE 125,Introductory Chemistry,NATSCI (806) 134,4650,"UCTA,LS,NS",General Chemistry,22
9999,L,4.00,PHY 141,College Physics I,NATSCI (806) 154,4650,"UCTA,LS,NS",General Physics 1,22
9999,L,4.00,CHE 125,Introductory Chemistry,NATSCI (806) 174,4650,"UCTA,LS,NS",General Chemistry,22
9999,L,4.00,BIO 182,Human Anat & Physiology,NATSCI (806) 177,4650,"LS,NS",Gen Anatomy & Physiology,209
9999,L,4.00,BIO EL,Biology Elective,NATSCI (806) 179,4650,"NS, LS",Adv Anatomy & Physiology,209
9999,L,4.00,CHE EL,Chemistry Elective,NATSCI (806) 186,4650,NS,Intro to Biochemistry,
9999,L,3.00,BIO EL,Biology Elective,NATSCI (806) 189,4650,NS,Basic Anatomy,
9999,L,4.00,BIO EL,Biology Elective,NATSCI (806) 197,4650,NS,Microbiology,
9999,L,3.00,BIO 182,Human Anat & Physiology,NATSCI (806) 103,4650,"LS,NS",Body Struct Functn,
9999,L,4.00,BIO EL,Biology Elective,NATSCI (806) 114,4650,"NS, LS, UCTA",General Biology,22
9999,L,4.00,CHE 125,Introductory Chemistry,NATSCI (806) 134,4650,"UCTA,LS,NS",General Chemistry,22
9999,L,4.00,PHY 141,College Physics I,NATSCI (806) 154,4650,"UCTA,LS,NS",General Physics 1,22
9999,L,4.00,CHE 125,Introductory Chemistry,NATSCI (806) 174,4650,"UCTA,LS,NS",General Chemistry,22
9999,L,4.00,BIO 182,Human Anat & Physiology,NATSCI (806) 177,4650,"LS,NS",Gen Anatomy & Physiology,209
9999,L,4.00,BIO EL,Biology Elective,NATSCI (806) 179,4650,"NS, LS",Adv Anatomy & Physiology,209
9999,L,4.00,CHE EL,Chemistry Elective,NATSCI (806) 186,4650,NS,Intro to Biochemistry,
9999,L,3.00,BIO EL,Biology Elective,NATSCI (806) 189,4650,NS,Basic Anatomy,
9999,L,4.00,BIO EL,Biology Elective,NATSCI (806) 197,4650,NS,Microbiology,
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 100,4650,,Power Thinking,5
9999,,1.00,NDC,No Degree Credit,SOCSCI (809) 104,4650,,You in the Future,5
9999,L,1.00,ECO EL,Economics Elective,SOCSCI (809) 110,4650,SS,International Issues,
9999,,1.00,NDC,No Degree Credit,SOCSCI (809) 120,4650,,Ethics - Workplace,5
9999,L,3.00,POL 104,Amer Gov & Politics,SOCSCI (809) 122,4650,"UCTA,SS",Intro to Amer Government,22
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 128,4650,,Marriage & Family,5
9999,L,3.00,ECO EL,Economics Elective,SOCSCI (809) 144,4650,,Macroeconomics,
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 151,4650,,Discovering Psychology-Tv,5
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 152,4650,,Organizational Behavior,5
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 153,4650,SS,Introduction to Sociology-Tv,
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 156,4650,,Diversity in the Workplace,5
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 158,4650,,Diversity-Communty,5
9999,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 159,4650,,Abnormal Psychology,
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 164,4650,SS,Human Grwth & Dev,
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 166,4650,"EL, UCTA",Intro to Ethics: Theory & App,22
9999,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 172,4650,"SS, UCTA",Intro to Diversity Studies,22
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 173,4650,SS,Abnormal Psych,
9999,L,3.00,SOC 130,Contemp Social Prob,SOCSCI (809) 174,4650,SS,Social Problems,
9999,,2.00,NDC,No Degree Credit,SOCSCI (809) 180,4650,,Pers Learn Exp,5
9999,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 188,4650,SS,Developmental Psychology,
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 190,4650,,Social Science Independent Stu,5
9999,,1.00,NDC,No Degree Credit,SOCSCI (809) 193,4650,,Investment Basics - Mutual Fun,5
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 194,4650,,Economics II,5
9999,L,3.00,ECO 101,Intro to Economics,SOCSCI (809) 195,4650,"UCTA,SS",Economics,22
9999,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 196,4650,"SS, UCTA",Intro to Sociology,22
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 197,4650,SS,Contemporary Amer Society,
9999,L,3.00,PSY 202,Introductory Psych,SOCSCI (809) 198,4650,"UCTA,SS",Intro to Psychology,22
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 199,4650,SS,Psychology of Human Relations,
9999,,3.00,NDC,No Degree Credit,MATH (804) 106,4650,,Intro to College Math,5
9999,L,3.00,MAT EL,Mathematics Elective,MATH (804) 107,4650,,College Mathematics,
9999,,3.00,NDC,No Degree Credit,MATH (804) 110,4650,,Elem Algebra W Apps,5
9999,P,3.00,MAT 091,Elementary Algebra,MATH (804) 113,4650,,College Technical Math 1a,5
9999,,2.00,NDC,No Degree Credit,MATH (804) 114,4650,,College Technical Math 1b,5
9999,P,5.00,MAT 091,Elementary Algebra,MATH (804) 115,4650,,College Technical Math 1,5
9999,L,3.00,MAT EL,Mathematics Elective,MATH (804) 116,4650,MS,Trigonometry Basic,
9999,L,4.00,MAT 105,Intro College Algebra,MATH (804) 118,4650,EL,Interm Algebra W Apps,
9999,,3.00,NDC,No Degree Credit,MATH (804) 130,4650,,Math and Logic,"5, 1251"
9999,,3.00,NDC,No Degree Credit,MATH (804) 133,4650,,Math & Logic,5
9999,L,3.00,MAT 117,Elementary Statistics,MATH (804) 189,4650,"UCTA,MS",Introductory Statistics,22
9999,L,3.00,MAT 110,College Algebra,MATH (804) 195,4650,"MS,CR",College Algebra W Apps,
9999,L,3.00,MAT 113,Trigonometry,MATH (804) 196,4650,MS,Trigonometry With Appls,
9999,L,5.00,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,4650,"UCTA,MS",Coll Algebra & Trig With Appls,22
9999,L,4.00,MAT 221,Calc & Analy Geom I,MATH (804) 198,4650,MS,Calculus,
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 120,4650,,Discussion-Meeting Management,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 151,4650,,Comm Skills I,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 152,4650,,Comm Skills II,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 155,4650,,Office Communications I,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 156,4650,,Office Communications II,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 157,4650,,Effective Writing,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 158,4650,,Business Writing and Editing,5
9999,,1.00,NDC,No Degree Credit,COMMSK (801) 159,4650,,English For Court Reporters,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 160,4650,,Tech Writing,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 162,4650,,Business Communications,5
9999,,1.00,NDC,No Degree Credit,COMMSK (801) 170,4650,,Comm Ind Study,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 175,4650,,English Comp,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 188,4650,,Effective Speaking,5
9999,L,3.00,CTA 103,Intro Public Speaking,COMMSK (801) 190,4650,"UCTA,AP",Speech,22
9999,L,3.00,ENG EL,English Elective,COMMSK (801) 195,4650,"EL, UCTA",Written Communication,22
9999,L,3.00,CTA 101,Interpersonal Comm,COMMSK (801) 196,4650,AP,Oral/Interpersonal Comm,
9999,L,3.00,ENG 206,Technical Writing,COMMSK (801) 197,4650,AP,Technical Reporting,
9999,L,3.00,CTA 103,Intro Public Speaking,COMMSK (801) 198,4650,"UCTA,AP",Speech,22
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 120,4650,,Discussion-Meeting Management,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 151,4650,,Comm Skills I,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 152,4650,,Comm Skills II,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 155,4650,,Office Communications I,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 156,4650,,Office Communications II,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 157,4650,,Effective Writing,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 158,4650,,Business Writing and Editing,5
9999,,1.00,NDC,No Degree Credit,COMMSK (801) 159,4650,,English For Court Reporters,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 160,4650,,Tech Writing,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 162,4650,,Business Communications,5
9999,,1.00,NDC,No Degree Credit,COMMSK (801) 170,4650,,Comm Ind Study,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 175,4650,,English Comp,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 188,4650,,Effective Speaking,5
9999,L,3.00,CTA 103,Intro Public Speaking,COMMSK (801) 190,4650,"UCTA,AP",Speech,22
9999,L,3.00,ENG EL,English Elective,COMMSK (801) 195,4650,"EL, UCTA",Written Communication,22
9999,L,3.00,CTA 101,Interpersonal Comm,COMMSK (801) 196,4650,AP,Oral/Interpersonal Comm,
9999,L,3.00,ENG 206,Technical Writing,COMMSK (801) 197,4650,AP,Technical Reporting,
9999,L,3.00,CTA 103,Intro Public Speaking,COMMSK (801) 198,4650,"UCTA,AP",Speech,22
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 100,4650,,Power Thinking,5
9999,,1.00,NDC,No Degree Credit,SOCSCI (809) 104,4650,,You in the Future,5
9999,L,1.00,ECO EL,Economics Elective,SOCSCI (809) 110,4650,SS,International Issues,
9999,,1.00,NDC,No Degree Credit,SOCSCI (809) 120,4650,,Ethics - Workplace,5
9999,L,3.00,POL 104,Amer Gov & Politics,SOCSCI (809) 122,4650,"UCTA,SS",Intro to Amer Government,22
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 128,4650,,Marriage & Family,5
9999,L,3.00,ECO EL,Economics Elective,SOCSCI (809) 144,4650,,Macroeconomics,
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 151,4650,,Discovering Psychology-Tv,5
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 152,4650,,Organizational Behavior,5
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 153,4650,SS,Introduction to Sociology-Tv,
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 156,4650,,Diversity in the Workplace,5
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 158,4650,,Diversity-Communty,5
9999,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 159,4650,,Abnormal Psychology,
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 164,4650,SS,Human Grwth & Dev,
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 166,4650,"EL, UCTA",Intro to Ethics: Theory & App,22
9999,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 172,4650,"SS, UCTA",Intro to Diversity Studies,22
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 173,4650,SS,Abnormal Psych,
9999,L,3.00,SOC 130,Contemp Social Prob,SOCSCI (809) 174,4650,SS,Social Problems,
9999,,2.00,NDC,No Degree Credit,SOCSCI (809) 180,4650,,Pers Learn Exp,5
9999,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 188,4650,SS,Developmental Psychology,
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 190,4650,,Social Science Independent Stu,5
9999,,1.00,NDC,No Degree Credit,SOCSCI (809) 193,4650,,Investment Basics - Mutual Fun,5
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 194,4650,,Economics II,5
9999,L,3.00,ECO 101,Intro to Economics,SOCSCI (809) 195,4650,"UCTA,SS",Economics,22
9999,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 196,4650,"SS, UCTA",Intro to Sociology,22
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 197,4650,SS,Contemporary Amer Society,
9999,L,3.00,PSY 202,Introductory Psych,SOCSCI (809) 198,4650,"UCTA,SS",Intro to Psychology,22
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 199,4650,SS,Psychology of Human Relations,
9999,,3.00,NDC,No Degree Credit,MATH (804) 106,4650,,Intro to College Math,5
9999,L,3.00,MAT EL,Mathematics Elective,MATH (804) 107,4650,,College Mathematics,
9999,,3.00,NDC,No Degree Credit,MATH (804) 110,4650,,Elem Algebra W Apps,5
9999,P,3.00,MAT 091,Elementary Algebra,MATH (804) 113,4650,,College Technical Math 1a,5
9999,,2.00,NDC,No Degree Credit,MATH (804) 114,4650,,College Technical Math 1b,5
9999,P,5.00,MAT 091,Elementary Algebra,MATH (804) 115,4650,,College Technical Math 1,5
9999,L,3.00,MAT EL,Mathematics Elective,MATH (804) 116,4650,MS,Trigonometry Basic,
9999,L,4.00,MAT 105,Intro College Algebra,MATH (804) 118,4650,EL,Interm Algebra W Apps,
9999,,3.00,NDC,No Degree Credit,MATH (804) 130,4650,,Math and Logic,"5, 1251"
9999,,3.00,NDC,No Degree Credit,MATH (804) 133,4650,,Math & Logic,5
9999,L,3.00,MAT 117,Elementary Statistics,MATH (804) 189,4650,"UCTA,MS",Introductory Statistics,22
9999,L,3.00,MAT 110,College Algebra,MATH (804) 195,4650,"MS,CR",College Algebra W Apps,
9999,L,3.00,MAT 113,Trigonometry,MATH (804) 196,4650,MS,Trigonometry With Appls,
9999,L,5.00,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,4650,"UCTA,MS",Coll Algebra & Trig With Appls,22
9999,L,4.00,MAT 221,Calc & Analy Geom I,MATH (804) 198,4650,MS,Calculus,
9999,L,3.00,BIO 182,Human Anat & Physiology,NATSCI (806) 103,4650,"LS,NS",Body Struct Functn,
9999,L,4.00,BIO EL,Biology Elective,NATSCI (806) 114,4650,"NS, LS, UCTA",General Biology,22
9999,L,4.00,CHE 125,Introductory Chemistry,NATSCI (806) 134,4650,"UCTA,LS,NS",General Chemistry,22
9999,L,4.00,PHY 141,College Physics I,NATSCI (806) 154,4650,"UCTA,LS,NS",General Physics 1,22
9999,L,4.00,CHE 125,Introductory Chemistry,NATSCI (806) 174,4650,"UCTA,LS,NS",General Chemistry,22
9999,L,4.00,BIO 182,Human Anat & Physiology,NATSCI (806) 177,4650,"LS,NS",Gen Anatomy & Physiology,209
9999,L,4.00,BIO EL,Biology Elective,NATSCI (806) 179,4650,"NS, LS",Adv Anatomy & Physiology,209
9999,L,4.00,CHE EL,Chemistry Elective,NATSCI (806) 186,4650,NS,Intro to Biochemistry,
9999,L,3.00,BIO EL,Biology Elective,NATSCI (806) 189,4650,NS,Basic Anatomy,
9999,L,4.00,BIO EL,Biology Elective,NATSCI (806) 197,4650,NS,Microbiology,
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 100,4650,,Power Thinking,5
9999,,1.00,NDC,No Degree Credit,SOCSCI (809) 104,4650,,You in the Future,5
9999,L,1.00,ECO EL,Economics Elective,SOCSCI (809) 110,4650,SS,International Issues,
9999,,1.00,NDC,No Degree Credit,SOCSCI (809) 120,4650,,Ethics - Workplace,5
9999,L,3.00,POL 104,Amer Gov & Politics,SOCSCI (809) 122,4650,"UCTA,SS",Intro to Amer Government,22
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 128,4650,,Marriage & Family,5
9999,L,3.00,ECO EL,Economics Elective,SOCSCI (809) 144,4650,,Macroeconomics,
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 151,4650,,Discovering Psychology-Tv,5
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 152,4650,,Organizational Behavior,5
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 153,4650,SS,Introduction to Sociology-Tv,
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 156,4650,,Diversity in the Workplace,5
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 158,4650,,Diversity-Communty,5
9999,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 159,4650,,Abnormal Psychology,
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 164,4650,SS,Human Grwth & Dev,
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 166,4650,"EL, UCTA",Intro to Ethics: Theory & App,22
9999,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 172,4650,"SS, UCTA",Intro to Diversity Studies,22
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 173,4650,SS,Abnormal Psych,
9999,L,3.00,SOC 130,Contemp Social Prob,SOCSCI (809) 174,4650,SS,Social Problems,
9999,,2.00,NDC,No Degree Credit,SOCSCI (809) 180,4650,,Pers Learn Exp,5
9999,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 188,4650,SS,Developmental Psychology,
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 190,4650,,Social Science Independent Stu,5
