to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 109,4556,,Business Report Writing and Ed,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 110,4556,,Communication Skills 1 - Secre,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 111,4556,,Communication Skills 2 - Secre,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 112,4556,,Communication Skills 3 - Secre,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 113,4556,,Principles of Business Communi,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 114,4556,,Intercultural Communication,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 125,4556,,Report Writing-Public Service,5
9999,L,3.00,ENG 101,College Write & Critical Read,COMMSK (801) 136,4556,"UCTA,EL",English Composition 1,22
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 175,4556,,English Composition,5
9999,L,3.00,ENG EL,English Elective,COMMSK (801) 195,4556,"EL, UCTA",Written Communication,22
9999,L,3.00,CTA 101,Interpersonal Comm,COMMSK (801) 196,4556,AP,Oral/Interpersonal Comm,
9999,L,3.00,ENG 206,Technical Writing,COMMSK (801) 197,4556,AP,Technical Reporting,
9999,L,3.00,CTA 103,Intro Public Speaking,COMMSK (801) 198,4556,"UCTA,AP",Speech,22
9999,L,3.00,CPS 216,Prb Slv/Prg Tech-C++,ITDEV (152) 114,4556,,Computer Programming C++,
9999,L,3.00,CPS 130,Intr to Prog (Basic),ITDEV (152) 115,4556,,Visual Basic Introduction,
9999,L,2.00,CPS EL,Computer Sciences Elective,ITDEV (152) 120,4556,,Html,
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 109,4556,,Business Report Writing and Ed,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 110,4556,,Communication Skills 1 - Secre,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 111,4556,,Communication Skills 2 - Secre,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 112,4556,,Communication Skills 3 - Secre,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 113,4556,,Principles of Business Communi,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 114,4556,,Intercultural Communication,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 125,4556,,Report Writing-Public Service,5
9999,L,3.00,ENG 101,College Write & Critical Read,COMMSK (801) 136,4556,"UCTA,EL",English Composition 1,22
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 175,4556,,English Composition,5
9999,L,3.00,ENG EL,English Elective,COMMSK (801) 195,4556,"EL, UCTA",Written Communication,22
9999,L,3.00,CTA 101,Interpersonal Comm,COMMSK (801) 196,4556,AP,Oral/Interpersonal Comm,
9999,L,3.00,ENG 206,Technical Writing,COMMSK (801) 197,4556,AP,Technical Reporting,
9999,L,3.00,CTA 103,Intro Public Speaking,COMMSK (801) 198,4556,"UCTA,AP",Speech,22
9999,,2.00,NDC,No Degree Credit,SOCSCI (809) 108,4556,,Government Processes - Cass,5
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 109,4556,,Diversity in the Workplace,5
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 110,4556,,Leadership As An Art,5
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 113,4556,SS,"Psychology, Developmental",
9999,L,3.00,POL 104,Amer Gov & Politics,SOCSCI (809) 122,4556,"UCTA,SS",Intro to Amer Government,22
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 128,4556,,Marriage & Family,5
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 130,4556,SS,"Psychology, Abnormal",
9999,,2.00,NDC,No Degree Credit,SOCSCI (809) 131,4556,,Civic Literacy - Cass,5
9999,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 159,4556,,Abnormal Psychology,
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 166,4556,"EL, UCTA",Intro to Ethics: Theory & App,22
9999,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 172,4556,"SS, UCTA",Introduction to Diversity Stud,22
9999,L,3.00,SOC 130,Contemp Social Prob,SOCSCI (809) 174,4556,SS,Social Problems,
9999,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 188,4556,SS,Developmental Psychology,
9999,L,3.00,ECO 101,Intro to Economics,SOCSCI (809) 195,4556,"UCTA,SS",Economics,22
9999,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 196,4556,"SS, UCTA",Intro to Sociology,22
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 197,4556,SS,Contemporary Amer Society,
9999,,3.00,NDC,No Degree Credit,MATH (804) 106,4556,,Intro to College Math,5
9999,L,3.00,MAT EL,Mathematics Elective,MATH (804) 107,4556,,College Mathematics,
9999,,3.00,NDC,No Degree Credit,MATH (804) 108,4556,,Business Math,5
9999,,3.00,NDC,No Degree Credit,MATH (804) 110,4556,,Elem Algebra W Apps,5
9999,P,3.00,MAT 091,Elementary Algebra,MATH (804) 113,4556,,College Technical Math 1a,5
9999,,2.00,NDC,No Degree Credit,MATH (804) 114,4556,,College Technical Math 1b,5
9999,P,5.00,MAT 091,Elementary Algebra,MATH (804) 115,4556,,College Technical Math 1,5
9999,L,3.00,MAT EL,Mathematics Elective,MATH (804) 116,4556,MS,College Technical Math 2,
9999,L,4.00,MAT 105,Intro College Algebra,MATH (804) 118,4556,EL,Interm Algebra W Apps,
9999,L,4.00,MAT 113,Trigonometry,MATH (804) 122,4556,MS,Math-Technical 2,
9999,L,3.00,MAT 113,Trigonometry,MATH (804) 127,4556,MS,Math-Technical Advanced,
9999,,3.00,NDC,No Degree Credit,MATH (804) 133,4556,,Math & Logic,5
9999,L,3.00,MAT 117,Elementary Statistics,MATH (804) 189,4556,"UCTA,MS",Introductory Statistics,22
9999,L,3.00,MAT 110,College Algebra,MATH (804) 195,4556,"MS,CR",College Algebra W Apps,
9999,L,3.00,MAT 113,Trigonometry,MATH (804) 196,4556,MS,Trigonometry W Apps,
9999,L,5.00,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,4556,"UCTA,MS",College Algebra & Trig W Apps,22
9999,L,4.00,MAT 221,Calc & Analy Geom I,MATH (804) 198,4556,MS,Calculus 1,
9999,L,3.00,PSY 202,Introductory Psych,SOCSCI (809) 198,4556,"UCTA,SS",Intro to Psychology,22
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 199,4556,SS,Psychology of Human Relations,
9999,L,4.00,BIO EL,Biology Elective,NATSCI (806) 114,4556,"NS, LS, UCTA",General Biology,22
9999,L,2.00,CHE EL,Chemistry Elective,NATSCI (806) 127,4556,NS,"Biotechnology, Introduction to",
9999,L,4.00,CHE 125,Introductory Chemistry,NATSCI (806) 134,4556,"UCTA,LS,NS",General Chemistry,22
9999,L,3.00,PHY 141,College Physics I,NATSCI (806) 143,4556,"UCTA,LS,NS",College Physics 1,22
9999,L,4.00,PHY 141,College Physics I,NATSCI (806) 154,4556,"UCTA,LS,NS",General Physics 1,22
9999,L,3.00,BIO EL,Biology Elective,NATSCI (806) 166,4556,"NS, LS",Biology 1,
9999,L,3.00,NDC,No Degree Credit,NATSCI (806) 167,4556,,Biology 2,5
9999,L,4.00,CHE 125,Introductory Chemistry,NATSCI (806) 174,4556,"UCTA,LS,NS","Chemistry, General",22
9999,L,4.00,BIO 182,Human Anat & Physiology,NATSCI (806) 177,4556,"LS,NS",Gen Anatomy & Physiology,207
9999,L,4.00,BIO EL,Biology Elective,NATSCI (806) 179,4556,NS,Adv Anatomy & Physiology,207
9999,L,4.00,CHE EL,Chemistry Elective,NATSCI (806) 186,4556,NS,Intro to Biochemistry,
9999,L,3.00,BIO EL,Biology Elective,NATSCI (806) 189,4556,NS,Basic Anatomy,
9999,L,4.00,BIO EL,Biology Elective,NATSCI (806) 197,4556,NS,Microbiology,
9999,L,4.00,CHE 125,Introductory Chemistry,NATSCI (806) 199,4556,"NS, LS","Gen, Organic & Bio Chemistry",
9999,,2.00,NDC,No Degree Credit,SOCSCI (809) 108,4556,,Government Processes - Cass,5
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 109,4556,,Diversity in the Workplace,5
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 110,4556,,Leadership As An Art,5
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 113,4556,SS,"Psychology, Developmental",
9999,L,3.00,POL 104,Amer Gov & Politics,SOCSCI (809) 122,4556,"UCTA,SS",Intro to Amer Government,22
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 128,4556,,Marriage & Family,5
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 130,4556,SS,"Psychology, Abnormal",
9999,,2.00,NDC,No Degree Credit,SOCSCI (809) 131,4556,,Civic Literacy - Cass,5
9999,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 159,4556,,Abnormal Psychology,
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 166,4556,"EL, UCTA",Intro to Ethics: Theory & App,22
9999,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 172,4556,"SS, UCTA",Introduction to Diversity Stud,22
9999,L,3.00,SOC 130,Contemp Social Prob,SOCSCI (809) 174,4556,SS,Social Problems,
9999,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 188,4556,SS,Developmental Psychology,
9999,L,3.00,ECO 101,Intro to Economics,SOCSCI (809) 195,4556,"UCTA,SS",Economics,22
9999,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 196,4556,"SS, UCTA",Intro to Sociology,22
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 197,4556,SS,Contemporary Amer Society,
9999,L,3.00,PSY 202,Introductory Psych,SOCSCI (809) 198,4556,"UCTA,SS",Intro to Psychology,22
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 199,4556,SS,Psychology of Human Relations,
9999,L,3.00,CPS 216,Prb Slv/Prg Tech-C++,ITDEV (152) 114,4556,,Computer Programming C++,
9999,L,3.00,CPS 130,Intr to Prog (Basic),ITDEV (152) 115,4556,,Visual Basic Introduction,
9999,L,2.00,CPS EL,Computer Sciences Elective,ITDEV (152) 120,4556,,Html,
9999,,3.00,NDC,No Degree Credit,MATH (804) 106,4556,,Intro to College Math,5
9999,L,3.00,MAT EL,Mathematics Elective,MATH (804) 107,4556,,College Mathematics,
9999,,3.00,NDC,No Degree Credit,MATH (804) 108,4556,,Business Math,5
9999,,3.00,NDC,No Degree Credit,MATH (804) 110,4556,,Elem Algebra W Apps,5
9999,P,3.00,MAT 091,Elementary Algebra,MATH (804) 113,4556,,College Technical Math 1a,5
9999,,2.00,NDC,No Degree Credit,MATH (804) 114,4556,,College Technical Math 1b,5
9999,P,5.00,MAT 091,Elementary Algebra,MATH (804) 115,4556,,College Technical Math 1,5
9999,L,3.00,MAT EL,Mathematics Elective,MATH (804) 116,4556,MS,College Technical Math 2,
9999,L,4.00,MAT 105,Intro College Algebra,MATH (804) 118,4556,EL,Interm Algebra W Apps,
9999,L,4.00,MAT 113,Trigonometry,MATH (804) 122,4556,MS,Math-Technical 2,
9999,L,3.00,MAT 113,Trigonometry,MATH (804) 127,4556,MS,Math-Technical Advanced,
9999,,3.00,NDC,No Degree Credit,MATH (804) 133,4556,,Math & Logic,5
9999,L,3.00,MAT 117,Elementary Statistics,MATH (804) 189,4556,"UCTA,MS",Introductory Statistics,22
9999,L,3.00,MAT 110,College Algebra,MATH (804) 195,4556,"MS,CR",College Algebra W Apps,
9999,L,3.00,MAT 113,Trigonometry,MATH (804) 196,4556,MS,Trigonometry W Apps,
9999,L,5.00,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,4556,"UCTA,MS",College Algebra & Trig W Apps,22
9999,L,4.00,MAT 221,Calc & Analy Geom I,MATH (804) 198,4556,MS,Calculus 1,
9999,L,4.00,BIO EL,Biology Elective,NATSCI (806) 114,4556,"NS, LS, UCTA",General Biology,22
9999,L,2.00,CHE EL,Chemistry Elective,NATSCI (806) 127,4556,NS,"Biotechnology, Introduction to",
9999,L,4.00,CHE 125,Introductory Chemistry,NATSCI (806) 134,4556,"UCTA,LS,NS",General Chemistry,22
9999,L,3.00,PHY 141,College Physics I,NATSCI (806) 143,4556,"UCTA,LS,NS",College Physics 1,22
9999,L,4.00,PHY 141,College Physics I,NATSCI (806) 154,4556,"UCTA,LS,NS",General Physics 1,22
9999,L,3.00,BIO EL,Biology Elective,NATSCI (806) 166,4556,"NS, LS",Biology 1,
9999,L,3.00,NDC,No Degree Credit,NATSCI (806) 167,4556,,Biology 2,5
9999,L,4.00,CHE 125,Introductory Chemistry,NATSCI (806) 174,4556,"UCTA,LS,NS","Chemistry, General",22
9999,L,4.00,BIO 182,Human Anat & Physiology,NATSCI (806) 177,4556,"LS,NS",Gen Anatomy & Physiology,207
9999,L,4.00,BIO EL,Biology Elective,NATSCI (806) 179,4556,NS,Adv Anatomy & Physiology,207
9999,L,4.00,CHE EL,Chemistry Elective,NATSCI (806) 186,4556,NS,Intro to Biochemistry,
9999,L,3.00,BIO EL,Biology Elective,NATSCI (806) 189,4556,NS,Basic Anatomy,
9999,L,4.00,BIO EL,Biology Elective,NATSCI (806) 197,4556,NS,Microbiology,
9999,L,4.00,CHE 125,Introductory Chemistry,NATSCI (806) 199,4556,"NS, LS","Gen, Organic & Bio Chemistry",
9999,,2.00,NDC,No Degree Credit,SOCSCI (809) 108,4556,,Government Processes - Cass,5
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 109,4556,,Diversity in the Workplace,5
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 110,4556,,Leadership As An Art,5
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 113,4556,SS,"Psychology, Developmental",
9999,L,3.00,POL 104,Amer Gov & Politics,SOCSCI (809) 122,4556,"UCTA,SS",Intro to Amer Government,22
9999,,3.00,NDC,No Degree Credit,SOCSCI (809) 128,4556,,Marriage & Family,5
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 130,4556,SS,"Psychology, Abnormal",
9999,,2.00,NDC,No Degree Credit,SOCSCI (809) 131,4556,,Civic Literacy - Cass,5
9999,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 159,4556,,Abnormal Psychology,
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 166,4556,"EL, UCTA",Intro to Ethics: Theory & App,22
9999,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 172,4556,"SS, UCTA",Introduction to Diversity Stud,22
9999,L,3.00,SOC 130,Contemp Social Prob,SOCSCI (809) 174,4556,SS,Social Problems,
9999,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 188,4556,SS,Developmental Psychology,
9999,L,3.00,ECO 101,Intro to Economics,SOCSCI (809) 195,4556,"UCTA,SS",Economics,22
9999,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 196,4556,"SS, UCTA",Intro to Sociology,22
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 197,4556,SS,Contemporary Amer Society,
9999,L,3.00,PSY 202,Introductory Psych,SOCSCI (809) 198,4556,"UCTA,SS",Intro to Psychology,22
9999,L,3.00,GEN EL,General Elective,SOCSCI (809) 199,4556,SS,Psychology of Human Relations,
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 109,4556,,Business Report Writing and Ed,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 110,4556,,Communication Skills 1 - Secre,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 111,4556,,Communication Skills 2 - Secre,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 112,4556,,Communication Skills 3 - Secre,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 113,4556,,Principles of Business Communi,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 114,4556,,Intercultural Communication,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 125,4556,,Report Writing-Public Service,5
9999,L,3.00,ENG 101,College Write & Critical Read,COMMSK (801) 136,4556,"UCTA,EL",English Composition 1,22
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 175,4556,,English Composition,5
9999,L,3.00,ENG EL,English Elective,COMMSK (801) 195,4556,"EL, UCTA",Written Communication,22
9999,L,3.00,CTA 101,Interpersonal Comm,COMMSK (801) 196,4556,AP,Oral/Interpersonal Comm,
9999,L,3.00,ENG 206,Technical Writing,COMMSK (801) 197,4556,AP,Technical Reporting,
9999,L,3.00,CTA 103,Intro Public Speaking,COMMSK (801) 198,4556,"UCTA,AP",Speech,22
9999,L,3.00,CPS 216,Prb Slv/Prg Tech-C++,ITDEV (152) 114,4556,,Computer Programming C++,
9999,L,3.00,CPS 130,Intr to Prog (Basic),ITDEV (152) 115,4556,,Visual Basic Introduction,
9999,L,2.00,CPS EL,Computer Sciences Elective,ITDEV (152) 120,4556,,Html,
9999,,3.00,NDC,No Degree Credit,MATH (804) 106,4556,,Intro to College Math,5
9999,L,3.00,MAT EL,Mathematics Elective,MATH (804) 107,4556,,College Mathematics,
9999,,3.00,NDC,No Degree Credit,MATH (804) 108,4556,,Business Math,5
9999,,3.00,NDC,No Degree Credit,MATH (804) 110,4556,,Elem Algebra W Apps,5
9999,P,3.00,MAT 091,Elementary Algebra,MATH (804) 113,4556,,College Technical Math 1a,5
9999,,2.00,NDC,No Degree Credit,MATH (804) 114,4556,,College Technical Math 1b,5
9999,P,5.00,MAT 091,Elementary Algebra,MATH (804) 115,4556,,College Technical Math 1,5
9999,L,3.00,MAT EL,Mathematics Elective,MATH (804) 116,4556,MS,College Technical Math 2,
9999,L,4.00,MAT 105,Intro College Algebra,MATH (804) 118,4556,EL,Interm Algebra W Apps,
9999,L,4.00,MAT 113,Trigonometry,MATH (804) 122,4556,MS,Math-Technical 2,
9999,L,3.00,MAT 113,Trigonometry,MATH (804) 127,4556,MS,Math-Technical Advanced,
9999,,3.00,NDC,No Degree Credit,MATH (804) 133,4556,,Math & Logic,5
9999,L,3.00,MAT 117,Elementary Statistics,MATH (804) 189,4556,"UCTA,MS",Introductory Statistics,22
9999,L,3.00,MAT 110,College Algebra,MATH (804) 195,4556,"MS,CR",College Algebra W Apps,
9999,L,3.00,MAT 113,Trigonometry,MATH (804) 196,4556,MS,Trigonometry W Apps,
9999,L,5.00,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,4556,"UCTA,MS",College Algebra & Trig W Apps,22
9999,L,4.00,MAT 221,Calc & Analy Geom I,MATH (804) 198,4556,MS,Calculus 1,
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 109,4556,,Business Report Writing and Ed,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 110,4556,,Communication Skills 1 - Secre,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 111,4556,,Communication Skills 2 - Secre,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 112,4556,,Communication Skills 3 - Secre,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 113,4556,,Principles of Business Communi,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 114,4556,,Intercultural Communication,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 125,4556,,Report Writing-Public Service,5
